0x01530210	1	Head Tracking	1	
0x01530210	2	Head Lock-On	5	
0x0153020C	25	Shoulder Charge	3	
0x0153020C	26	Throw Off	4	Shoulder Charge
0x0153020C	27	Roundhouse Kick	5	Shoulder Charge
0x0153020C	28	Leg Sweep	5	Shoulder Charge
0x0153020C	29	Break-Away Kick	5	Shoulder Charge
0x0153020C	30	Rapid Evasion	5	
0x01530210	3	Super Grip	3	
0x01530210	4	Iron Arm	3	Super Grip
0x01530210	5	Unarmed Expertise	5	Super Grip
0x01530210	6	Demolition Man	15	
0x01530210	7	Rapid Reload	20	
0x01530210	8	Head Hunter	20	
0x01530210	9	Unarmed Mastery	20	
0x0153020C	2	Focus Recovery: Enhanced	2	
0x0153020C	3	Focus Recovery: Advanced	3	Focus Recovery: Enhanced
0x0153020C	4	Focus Recovery: Super	5	Focus Recovery: Advanced
0x0153020C	31	Max Focus: Ultra	3	
0x01530210	0	Max Focus: Epic	5	Max Focus: Ultra
0x0153020C	5	Inventory Slots: 12	1	
0x0153020C	6	Inventory Slots: 14	2	Inventory Slots: 12
0x0153020C	7	Inventory Slots: 18	5	Inventory Slots: 14
0x0153020C	8	Inventory Slots: 20	5	Inventory Slots: 18
0x0153020C	9	Inventory Slots: 22	7	Inventory Slots: 20
0x0153020C	10	Inventory Slots: 24	7	Inventory Slots: 22
0x0153020C	11	Weapon Slots: 4	1	
0x0153020C	12	Weapon Slots: 5	5	Weapon Slots: 4
0x0153020C	13	Weapon Slots: 6	7	Weapon Slots: 5
0x0153020C	14	Accessory Slots: 2	3	
0x0153020C	15	Accessory Slots: 3	5	Accessory Slots: 2
0x0153020C	16	Accessory Slots: 4	7	Accessory Slots: 3
0x0153020C	17	Accessory Slots: 5	10	Accessory Slots: 4
0x0153020C	18	Weapon Skill: Intermediate	2	
0x0153020C	19	Weapon Skill: Advanced	5	Weapon Skill: Intermediate
0x0153020C	20	Weapon Skill: Expert	10	Weapon Skill: Advanced
0x0153020C	22	Armor Skill: Intermediate	2	
0x0153020C	23	Armor Skill: Advanced	5	Armor Skill: Intermediate
0x0153020C	24	Armor Skill: Expert	10	Armor Skill: Advanced
