2	Money (1,000 Yen)
3	Recovery Medicine 1
4	Recovery Medicine 2
5	Recovery Medicine 3
6	Toughness Z
7	Toughness ZZ
8	Toughness Emperor
9	Toughness Infinity
10	Adhesive Bandages
11	Tauriner
12	Tauriner +
13	Tauriner ++
14	Tauriner Maximum
15	Staminan X
16	Staminan XX
17	Staminan Royale
18	Staminan Spark
19	Haruka's Candy
20	Haruka's Chocolate
21	Haruka's Lunch
22	Haruka's First-Aid Kit
23	Temp Item 001
24	Temp Item 002
25	Shotgun Ammo
26	Shotgun Ammo
27	Gatling Gun Ammo
28	Gatling Gun Ammo
29	Submachine Gun Ammo
30	Submachine Gun Ammo
31	Rifle Ammo
32	Rifle Ammo
33	Anti-Materiel Ammo
34	Anti-Materiel Ammo
35	Grenade Launcher Ammo
36	Grenade Launcher Ammo
37	Platinum Plate
38	Gold Plate
39	Silver Plate
40	Bronze Plate
41	Iron Plate
42	Fake Silver Plate
43	Modern Mahjong Cup Trophy
44	1000G Coin
45	100G Coin
46	10G Coin
47	Money (50,000 yen)
48	Pocket Tissues
49	Oden Soup
50	Seaweed Rice Ball
51	Tuna Rice Ball
52	Salmon Rice Ball
53	Bento Lunch Set
54	Bento Lunch Set (Pork)
55	Club Sandwich
56	Tuna & Egg Sandwich
57	Special Yakisoba
58	Steamed Bun
59	Bean Paste Bun
60	Yakisoba Bun
61	Sake
62	Milk
63	Dog Food
64	Sushi Set
65	Wormwood
66	Catnip Stick
67	Miso Paste Cucumber
68	Temp Item 582
69	Legendary Drinker of Ryukyu
70	Boss Rainbow Mountain Blend
71	Boss Zeitakubito
72	Black Boss
73	Suntory Oolong Tea
74	Suntory Kuro Oolong Tea
75	Suntory Natural Mineral Water
76	Iyemon Cha (Green Tea)
77	Iyemon Cha Koime (Green Tea)
78	Gomamugi Cha
79	The Premium Malt's
80	Kinmugi
81	Chu-Hi -196?C Zero
82	Dummy
83	Dummy
84	Shrimp & Avocado Spring Rolls
85	Smile Burger Set
86	Smile Cheeseburger Set
87	Teriyaki Smile Burger Set
88	King Smile Burger Set
89	Tuna Burger Set
90	Stewed Burger Set
91	Smile Shake
92	Smile Fries
93	Limited Kamuro Burger
94	Shoyu Ramen
95	Miso Ramen
96	Tonkotsu Ramen
97	Shio Ramen
98	Squid Yakisoba
99	Soup Harusame: Wonton
100	Soup Harusame: Egg
101	Soup Harusame: Tan Tan Noodles
102	Soup Harusame: Chige
103	Soup Harusame: Seaweed Veggie
104	Soup Harusame: Chinese Chicken
105	Soup Harusame: Hot & Sour
106	Irresistible Tan Tan Noodles
107	Irresistible Special Tonkotsu
108	Tan Tan Noodles
109	Curry Udon Soup
110	Special Tonkotsu Ramen
111	Wakame Ramen
112	Yamazaki 1984
113	Yamazaki 25 Years Old
114	Yamazaki 12 Years Old
115	Hakushu 25 Years Old
116	Hakushu 12 Years Old
117	The Macallan 30 Years Old
118	The Macallan 12 Years Old
119	Laphroaig 30 Years Old
120	Laphroaig 10 Years Old
121	White Bowmore 43 Years Old
122	Bowmore 12 Years Old
