# id	name   -- gifts. Holding one is what lets the player hang out with a
# hostess again. Seeded with dresses and gowns; add jewellery, bags,
# perfume and anything else you want to count. Gifts are `useful` items and
# are removed from the shop filler pool automatically.
353	French Haute Couture Dress
354	French Prêt-à-Porter Dress
362	Long Two-Piece Dress (Wine)
363	Long Two-Piece Dress (Blue)
364	Long Two-Piece Dress (Green)
365	Long Two-Piece Dress (Leopard)
366	Long Two-Piece (Black Leopard)
367	Mini Skirt Dress (Pink)
368	Mini Skirt Dress (Blue)
369	Mini Skirt Dress (Green)
370	Mini Skirt Dress (Yellow)
371	Mini Skirt Dress (Black)
372	Off Shoulder Dress (Sunflower)
373	Off Shoulder Dress (Purple)
374	Off Shoulder Dress (Lapis)
375	Off Shoulder Dress (Rose)
376	Off Shoulder Dress (Green)
382	Chinese Dress (Black)
399	Chinese Dress (Orange)
400	Chinese Dress (Purple)
401	Chinese Dress (Off-White)
402	Chinese Dress (Emerald)
408	Mermaid Gown (Wine)
409	Long Halter Gown (Wine)
410	Long Two-Piece Dress (Pink)
411	Long Two-Piece Dress (White)
412	One-Piece Dress (Pink)
413	One-Piece Dress (Blue)
414	One-Piece Dress (Green)
415	One-Piece Dress (Yellow)
416	One-Piece Dress (Purple)
417	One-Piece Dress (Monotone)
418	One-Piece Dress (Orange)
419	One-Shoulder Dress (Black)
420	One-Shoulder Dress (Red)
421	One-Shoulder Dress (Green)
422	One-Shoulder Dress (Pink)
423	One-Shoulder Dress (White)
424	One-Shoulder Dress (Blue)
425	One-Shoulder Dress (Yellow)
